Function;Use;Sharing;Reporting;Student_Type;Position_Type;Object_Type;Pre_K;Operating_Status;Object_Description;Text_2;SubFund_Description;Job_Title_Description;Text_3;Text_4;Sub_Object_Description;Location_Description;FTE;Function_Description;Facility_or_Department;Position_Extra;Total;Program_Description;Fund_Description;Text_1
Teacher Compensation;Instruction;School Reported;School;NO_LABEL;Teacher;NO_LABEL;NO_LABEL;PreK-12 Operating;nan;nan;nan;Teacher-Inter Relatated Resource;nan;nan;nan;nan;1.0;nan;nan;INTERRELATED ;86952.7;SPECIAL EDUCATION CATEGORY III;General Fund;nan
Social & Emotional;Pupil Services & Enrichment;School Reported;School;Unspecified;Psychologist;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;nan;GENERAL FUND;Psychologist ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;1054.50672;PSYCHOLOGICAL SERVICES;nan;STUDENTS
Data Processing & Information Services;Business Services;School Reported;School;Unspecified;Other;Base Salary/Compensation;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;COMPUTER TECHNOLOGY SPECIALIST;nan;Basic Educational Services - District Objective ;Salaries And Wages For Teachers And Other Professi;School ;0.03;Instruction;All Campus Payroll;TEACHER MASTER;2654.93740962;Basic Educational Services;General Operating Fund;REGULAR PAY
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;TEACHER SUBS;GENERAL FUND;Teacher, Short Term Sub ;Regular;nan;nan;nan;nan;UNALLOC BUDGETS/SCHOOLS;nan;PROFESSIONAL-INSTRUCTIONAL;7.47;GENERAL ELEMENTARY EDUCATION;nan;REGULAR INSTRUCTION
School Administration;Leadership;School Reported;School;Unspecified;Sec/Clerk/Other Admin;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;OTHER SUPPORT PERSONNEL       ;nan;nan;DATA ENTRY OPERATOR           ;nan;nan;nan;School ;1.0;GUIDANCE SERVICES             ;nan;nan;32932.941086700004;nan;GENERAL FUND                  ;nan
Teacher Compensation;Instruction;School Reported;School;Unspecified;Teacher;Base Salary/Compensation;PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;TEACHER, KINDERGARTEN;nan;nan;Salaries And Wages For Teachers And Other Professi;School ;nan;Instruction;All Campus Payroll;TEACHER BACHELOR;-904.812935265;PRE-K;General Operating Fund;REGULAR PAY
Physical Health & Services;NO_LABEL;School Reported;School;NO_LABEL;Occupational Therapist;NO_LABEL;NO_LABEL;PreK-12 Operating;nan;nan;nan;Occupational Therapist;nan;nan;nan;nan;1.0;nan;nan;OCCUPATIONAL THERAPIST ;66510.44;SPECIAL EDUCATION CATEGORY V;General Fund;nan
Security & Safety;O&M;Shared Services;Non-School;Unspecified;School Monitor/Security;Benefits;NO_LABEL;PreK-12 Operating;RETIREMENT CONTRIB.;nan;GENERAL FUND;Security Comm. Officer ;nan;nan;nan;SAFETY AND SECURITY;nan;EMPLOYEE RETIREMENT;nan;UNDESIGNATED;310.16;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
School Administration;Leadership;School Reported;School;Unspecified;Principal;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;nan;GENERAL FUND;Principal, Elementary ;Regular;nan;nan;nan;0.998199087095;NON-PROJECT;nan;ADMINISTRATOR;99009.79599369998;SUPPORT SERVICES-SCHOOL ADMIN;nan;SCHOOL ADMINISTRATION
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Purchased Services;nan;Support Services--Pupils;nan;nan;nan;Purchased Services;nan;nan;Direction Of Support Services - Pupils *;nan;nan;999.82;nan;Special Trust;HOME TEAM MARKETING 
Physical Health & Services;Pupil Services & Enrichment;School on Central Budgets;Non-School;Special Education;Speech Therapist;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;FEDERAL GDPG FUND - FY ;Speech Lang Pathology Asst ;nan;nan;nan;SPECIAL EDUCATION;nan;TITLE VI-IDEA B-MAIN;nan;PROFESSIONAL-OTHER;473.86;SPECIAL EDUCATION-S/L;nan;SPECIAL EDUCATION
Facilities & Maintenance;O&M;School Reported;School;Unspecified;Custodian;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;CUSTODIAL-SCHOOLS;GENERAL FUND;Custodial Helper - Day ;Regular;nan;nan;nan;0.990983587734;NON-PROJECT;nan;CRAFTS, TRADES, AND SERVICES;29643.841457700004;CARE & UPKEEP OF BLDG SERVICES;nan;OPERATION AND MAINT OF PLANT
Aides Compensation;Instruction;School Reported;School;ELL;TA;Base Salary/Compensation;PreK;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;nan;ITEMGD PRESCHOOL PROGRAM;Early Childhood Education ;Regular;nan;nan;nan;0.101493261554;ELPA - PRESCHOOL PROG;nan;PARAPROFESSIONAL;2538.53781458;EARLY CHILDHOOD;nan;REGULAR INSTRUCTION
School Supervision;Leadership;Leadership & Management;Non-School;Unspecified;(Exec) Director;Base Salary/Compensation;Non PreK;PreK-12 Operating;Personal Services - Super / Dir / Supv;nan;nan;DIRECTOR SEC. INSTRUCTION;nan;Regular Instructional Support;nan;Central Office;1.0;nan;CURRICULUM AND INSTRUCTION;EXECUTIVE DIRECTOR;108668.91;District Administration;General Purpose School;nan
Physical Health & Services;Pupil Services & Enrichment;School on Central Budgets;Non-School;Special Education;Occupational Therapist;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYER PD MED CONTRIBUTION;nan;FEDERAL GDPG FUND - FY ;Occupational Therapist ;nan;nan;nan;SPECIAL EDUCATION;nan;TITLE VI-IDEA B-MAIN;nan;PROFESSIONAL-INSTRUCTIONAL;251.95;SPECIAL EDUCATION-OT;nan;SPECIAL EDUCATION
School Administration;Leadership;School Reported;School;Unspecified;Non-Position;Supplies/Materials;NO_LABEL;PreK-12 Operating;GENERAL SUPPLIES;nan;GENERAL FUND;(blank);Regular;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;129.48;SUPPORT SERVICES-SCHOOL ADMIN;nan;SCHOOL ADMINISTRATION
Instructional Materials & Supplies;Instruction;School Reported;School;NO_LABEL;NO_LABEL;Supplies/Materials;NO_LABEL;PreK-12 Operating;SUPPLIES;nan;PRIMARY GRADES PROGRAM ;nan;nan;nan;nan;nan;nan;INSTRUCTION;nan;nan;40.0;PRIMARY GRADES PROGRAM ;General Fund;nan
Parent & Community Relations;Pupil Services & Enrichment;School Reported;School;Poverty;NO_LABEL;Supplies/Materials;Non PreK;PreK-12 Operating;General Supplies;SUPPLIES & MATERIALS;nan;nan;nan;Parent Involvement;General Supplies;School ;nan;Community Services;Instruction And Curriculum;nan;537.02;Title I, Part A Schoolwide Activities Related To State Comp;Title  Part A Improving Basic Programs;nan
Teacher Compensation;Instruction;School Reported;School;Unspecified;Teacher;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;LEVY OVERRIDE;Teacher, Elementary ;Regular;nan;nan;nan;nan;COMPUTERS FOR CHILDREN TECHNOL;nan;PROFESSIONAL-INSTRUCTIONAL;4573.68;GENERAL K-8 EDUCATION;nan;REGULAR INSTRUCTION
Student Transportation;O&M;Shared Services;Non-School;Special Education;Non-Position;Contracted Services;Non PreK;PreK-12 Operating;Printing and Binding;nan;Support Services - Pupil Transportation;nan;nan;nan;Contracted Craft Or Trade Services *;nan;nan;Other Pupil Transportation Services*;nan;nan;2499.67;nan;General;TRANSPORTATION PLANNING
Data Processing & Information Services;Business Services;School Reported;School;Unspecified;Other;Base Salary/Compensation;PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;COMPUTER TECHNOLOGY SPECIALIST;nan;nan;Salaries And Wages For Teachers And Other Professi;School ;0.04;Instruction;All Campus Payroll;TEACHER MASTER;2984.10303568;PRE-K;General Operating Fund;REGULAR PAY
Student Transportation;O&M;Shared Services;Non-School;Special Education;Other;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;TRANSPORTATION;GENERAL FUND;Bus Driver - Regular ;nan;nan;nan;GARAGE;nan;NON-PROJECT;nan;CRAFTS, TRADES, AND SERVICES;905.03;TRANSPORTATION-OPERATIONS;nan;STUDENT TRANSPORTATION
Extended Time & Tutoring;Instruction;School Reported;School;Poverty;Teacher;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Title  Part A Improving Basic Programs;TEACHER, REGULAR;nan;nan;Extended Week;School ;nan;Instruction;Instruction And Curriculum;TEACHER BACHELOR;234.85244;Title I, Part A Schoolwide Activities Related To State Comp;Title  Part A Improving Basic Programs;EXTENDED DAYS
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Other Awards and Prizes;nan;Community Services;nan;nan;nan;Awards And Prizes *;nan;nan;Other Community Services *;nan;nan;-363.43;nan;Title I - Disadvantaged Children/Targeted Assistance; TITLE I C/O-ENCUMBR
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Substitute Compensation;Non PreK;PreK-12 Operating;Personal Services - Education Assistants;nan;nan;nan;nan;Regular Instructional Support;nan;nan;0.0;nan;nan;SUBSTITUTE TEACHER;56.82;Support - Regular Instruction;General Purpose School;nan
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Substitute Compensation;PreK;PreK-12 Operating;Salaries And Wages For Substitute Professionals;nan;Operations;TEACHER SUBSTITUTE POOL;nan;nan;Salaries And Wages For Substitute Teachers;School ;nan;Instruction;All Campus Payroll;DEGREED SUBSTITUTE;188.195972222;PRE-K;General Operating Fund;REGULAR PAY
Substitute Compensation;Instruction;NO_LABEL;Non-School;NO_LABEL;Substitute;Substitute Compensation;NO_LABEL;PreK-12 Operating;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1406.93;nan;nan;nan
Extended Time & Tutoring;Instruction;School Reported;School;Poverty;Instructional Coach;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;EXTRA DUTY PAY-INSTRUCTIONAL  ;nan;nan;LITERACY COACH                ;nan;nan;nan;School ;nan;PARENTAL INVOLVEMENT          ;nan;nan;84.77999999999999;nan;FED THRU STATE-CASH ADVANCE   ;TITLE I                       
Special Population Program Management & Support;ISPD;Leadership & Management;Non-School;Special Education;(Exec) Director;Base Salary/Compensation;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;SPECIAL EDUC. PROGRM DIRECTOR;nan;nan;Salaries And Wages For Teachers And Other Professi;Undistributed;1.0;Instructional Leadership;Special Education;PROGRAM DIRECTOR;75794.04262200001;Services To Students With Disabilities (Special Education);General Operating Fund;REGULAR PAY
Professional Development;ISPD;School on Central Budgets;Non-School;Unspecified;Teacher;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;ADDITIONAL/EXTRA DUTY PAY/STIP;TEACHER LEARNING & LEADERSHIP;GENERAL FUND;Teacher, Secondary (High) ;nan;nan;nan;TEACHER LEARNING & LEADERSHIP;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;247.67087999999998;INSTRUCTIONAL STAFF TRAINING;nan;INSTRUCTIONAL STAFF
Teacher Compensation;Instruction;School Reported;School;NO_LABEL;Teacher;NO_LABEL;NO_LABEL;PreK-12 Operating;nan;nan;nan;Teacher-High School;nan;nan;nan;nan;1.0;nan;nan;ART ;nan;HIGH SCHOOL GENERAL EDUCATION PROGRAM 9-12;General Fund;nan
Enrichment;Pupil Services & Enrichment;School on Central Budgets;Non-School;Unspecified;TA;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;nan;AFTERSCHOOL PROGRAMS;SUMMER ED, ARTS & SPORTS - SEAS;Aide (Afterschool);nan;nan;nan;OFC COM & ED PROG-AFTER SCHOOL AIDES;0.025;nan;nan;nan;961.590140179;nan;nan;nan
Parent & Community Relations;Pupil Services & Enrichment;Leadership & Management;Non-School;Unspecified;Other;Benefits;NO_LABEL;PreK-12 Operating;RETIREMENT CONTRIB.;nan;GENERAL FUND;Americorp Hourly ;nan;nan;nan;DISTRICT COMMUNITY RELATIONS;nan;EMPLOYEE RETIREMENT;nan;UNDESIGNATED;124.5;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Aides Compensation;Instruction;School Reported;School;Special Education;TA;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;FEDERAL GDPG FUND - FY ;Secondary Spec Ed Para ;Regular;nan;nan;nan;nan;TITLE VI-IDEA B-MAIN;nan;PARAPROFESSIONAL;864.35;SPECIAL EDUCATION;nan;SPECIAL EDUCATION
Development & Fundraising;Business Services;Leadership & Management;Non-School;Unspecified;Non-Position;Other Non-Compensation;Non PreK;PreK-12 Operating;Bank Charges;nan;Fiscal Services;nan;nan;nan;Dues And Fees *;nan;nan;Other Fiscal Services;nan;nan;102999.25;nan;General;FIXED CHARGES
School Supervision;Leadership;Leadership & Management;Non-School;Unspecified;NO_LABEL;Travel & Conferences;Non PreK;PreK-12 Operating;Travel And Subsistence - Employee Only;nan;nan;nan;nan;Undistributed;Travel And Subsistence - Employee Only;Unallocated;nan;Instructional Leadership;Area Superintendents;nan;1139.16;Undistributed;General Operating Fund;nan
School Administration;Leadership;School Reported;School;Unspecified;NO_LABEL;Supplies/Materials;Non PreK;PreK-12 Operating;General Supplies;nan;nan;nan;nan;Undistributed;General Supplies;School ;nan;Curriculum Development And Instructional Staff Dev;nan;nan;995.48;Undistributed;General Operating Fund;nan
Special Population Program Management & Support;ISPD;Shared Services;Non-School;Special Education;Other;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;nan;FEDERAL GDPG FUND - FY ;Vision Itinerant Asst ;nan;nan;nan;SPECIAL EDUCATION;0.7208333333329999;TITLE VI-IDEA B-MAIN;nan;PARAPROFESSIONAL;16530.0889885;SPECIAL EDUCATION;nan;SPECIAL EDUCATION
Untracked Budget Set-Aside;Untracked Budget Set-Aside;Shared Services;Non-School;Unspecified;Non-Position;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Supplemental *;nan;Support Services - Instructional Staff;nan;nan;nan;Certificated Employees Salaries And Wages;nan;nan;Instruction And Curriculum Development Services *;nan;nan;-12109.044020000001;nan;Special Trust; TECH-GEMS TRAININ
Research & Accountability;Leadership;Leadership & Management;Non-School;Unspecified;Other;Benefits;NO_LABEL;PreK-12 Operating;RETIREMENT CONTRIB.;nan;GENERAL FUND;Temporary Employee ;nan;nan;nan;ASSESSMENT & RESEARCH;nan;EMPLOYEE RETIREMENT;nan;UNDESIGNATED;29.01;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Professional Development;ISPD;School Reported;School;Unspecified;Non-Position;Supplies/Materials;Non PreK;PreK-12 Operating;Other General Supplies;nan;Support Services - Instructional Staff;nan;nan;nan;General Supplies *;nan;nan;Other Improvements Of Instruction Services *;nan;nan;873.59;nan;Special Trust;MILES
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Regular *;nan;Special Instruction;nan;nan;nan;Certificated Employees Salaries And Wages;nan;nan;Disadvantaged Youth *;nan;nan;-231995.22;nan;Title I - Disadvantaged Children/Targeted Assistance;ESEA TITLE I
Teacher Compensation;Instruction;School Reported;School;At Risk;Teacher;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Training And Recruiting;TEACHER, BILINGUAL EDUCATION;nan;nan;Extra Duty Wages;School ;nan;Curriculum Development And Instructional Staff Dev;Instruction And Curriculum;TEACHER MASTER;1043.14890114;Accelerated Education;Esea Title Ii Part A Teacher & Principal Training;MISCELLANEOUS 
Physical Health & Services;NO_LABEL;School Reported;School;NO_LABEL;Nurse;NO_LABEL;NO_LABEL;PreK-12 Operating;nan;nan;nan;Cluster School Nurse;nan;nan;nan;nan;1.0;nan;nan;NURSE;75370.39;NURSES;General Fund;nan
Social & Emotional;Pupil Services & Enrichment;School Reported;School;Poverty;Social Worker;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYER PD MED CONTRIBUTION;GRANTS MANAGEMENT;FEDERAL GDPG FUND - FY ;Social Worker ;Regular;nan;nan;nan;nan;TITLE I - CENTRAL PROGRAMS;nan;PROFESSIONAL-INSTRUCTIONAL;83.9;SOCIAL WORK SERVICES;nan;STUDENTS
Teacher Compensation;Instruction;School on Central Budgets;Non-School;PreK;Teacher;Benefits;PreK;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;Teacher on Special Assgnmt ;nan;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;-401.47;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Substitute Compensation;Non PreK;PreK-12 Operating;Salaries And Wages For Substitute Professionals;nan;Operations;TEACHER SUBSTITUTE POOL;nan;nan;Salaries And Wages For Substitute Teachers;School ;nan;Instruction;All Campus Payroll;DEGREED SUBSTITUTE;282.783958333;Bilingual Education And Special Language Programs;General Operating Fund;REGULAR PAY
Enrichment;Pupil Services & Enrichment;School on Central Budgets;Non-School;Unspecified;Teacher;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;nan;AFTERSCHOOL PROGRAMS;SUMMER ED, ARTS & SPORTS - SEAS;Teacher (Afterschool);nan;nan;nan;OFFICE OF COMMUNITY & EDUCATION PROGRAMS;0.025;nan;nan;nan;2244.420616300001;nan;nan;nan
Food Services;O&M;Shared Services;Non-School;Unspecified;Sec/Clerk/Other Admin;Base Salary/Compensation;Non PreK;PreK-12 Operating;Salaries Or Wages For Support Personnel;nan;Child Nutrition;CLERICAL, FOOD SERVICE ADMN.;nan;Undistributed;Salaries Or Wages For Support Personnel;Undistributed;0.27;Food Services (Child Nutrition Fund Only);Child Nutrition;CO CLERICAL/BOOKKEEPER;8235.2187695;Undistributed;National School Breakfast And Lunch Program;REGULAR PAY
Communications;Leadership;Leadership & Management;Non-School;Unspecified;Instructional Coach;Benefits;NO_LABEL;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;ProTech, Hrly ;nan;nan;nan;MULTILINGUAL OUTREACH;nan;NON-PROJECT;nan;UNDESIGNATED;-1.4;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;GENERAL FUND;Teacher,Retrd Shrt Term Sub ;Alternative;nan;nan;nan;nan;UNALLOC BUDGETS/SCHOOLS;nan;PROFESSIONAL-INSTRUCTIONAL;46.27;GENERAL HIGH SCHOOL EDUCATION;nan;REGULAR INSTRUCTION
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Salaries And Wages For Teachers And Other Professi;nan;Title  Part A Improving Basic Programs;TEACHER, ESL KINDERGARTEN;nan;nan;Extended Year;Summer School;nan;School Leadership;Instruction And Curriculum;TEACHER BACHELOR;3035.67217116;Title I, Part A Schoolwide Activities Related To State Comp;Title  Part A Improving Basic Programs;EXTENDED YEAR
Facilities & Maintenance;O&M;School Reported;School;Unspecified;Non-Position;Equipment & Equipment Lease;NO_LABEL;PreK-12 Operating;NON-CAPITAL EQUIPMENT;nan;GENERAL FUND;(blank);Regular;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;6007.86;GENERAL ELEMENTARY EDUCATION;nan;REGULAR INSTRUCTION
NO_LABEL;NO_LABEL;School Reported;School;NO_LABEL;NO_LABEL;Contracted Services;NO_LABEL;PreK-12 Operating;OTHER PURCHASED SERVICES;nan;MISCELLANEOUS;nan;nan;nan;nan;nan;nan;PUPIL SERVICES;nan;nan;326.95;Misc;General Fund;nan
Research & Accountability;Leadership;Leadership & Management;Non-School;Unspecified;Teacher;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;TEACHER, VOCATIONAL EDUCATION;nan;Undistributed;Extra Duty Wages;Undistributed;nan;Guidance, Counseling And Evaluation Services;Research And Evaluation;TEACHER MASTER;650.642477619;Undistributed;General Operating Fund;EXTENDED YEAR
Communications;Leadership;Leadership & Management;Non-School;ELL;Other;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;MULTILINGUAL OUTREACH;GENERAL FUND;Spanish Lng Prof Exam Spec ;nan;nan;nan;MULTILINGUAL OUTREACH;nan;STATE ELPA (ENG LANG PROF ACT);nan;OFFICE/ADMINISTRATIVE SUPPORT;652.28;PUBLIC COMMUNICATIONS SERVICES;nan;CENTRAL
Special Population Program Management & Support;ISPD;Shared Services;Non-School;Special Education;Sec/Clerk/Other Admin;Benefits;NO_LABEL;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;Secretary I ;nan;nan;nan;SPECIAL EDUCATION;nan;NON-PROJECT;nan;UNDESIGNATED;-803.88;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Legal;Business Services;Leadership & Management;Non-School;Unspecified;Other;Benefits;NO_LABEL;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;Legal Assistant FT ;nan;nan;nan;SCHOOL ATTORNEY;nan;NON-PROJECT;nan;UNDESIGNATED;-1146.28;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Social & Emotional;Pupil Services & Enrichment;School Reported;School;Special Education;Guidance Counselor;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Idea Part B Formula;COUNSELOR, SPECIAL EDUCATION;nan;nan;Extended Day;School ;0.0;Instruction;Instruction And Curriculum;SPECIAL EDUCATION COUNSELOR;345.13263775;Services To Students With Disabilities (Special Education);Idea Part B Formula;MISCELLANEOUS 
Career & Academic Counseling;Pupil Services & Enrichment;School Reported;School;Unspecified;Guidance Counselor;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;OTHER CERTIFIED               ;nan;nan;COUNSELOR-HIGH                ;nan;nan;nan;School ;0.7892043676989999;GUIDANCE SERVICES             ;nan;nan;53960.9825013;nan;GENERAL FUND                  ;nan
